Годвып;Пробег;Серия;КолвохозяевпоПТС;Лошадки;Состояние;квадратсерии;квадратвозраста;квадратпробега;Цена
28;80000;1;3;129;1;1;784;6400000000;12000
23;45000;2;2;192;3;4;529;2025000000;16000
32;150000;2;3;125;1;4;1024;22500000000;20000
31;100000;2;1;125;3;4;961;10000000000;20000
25;300000;3;3;188;1;9;625;90000000000;24900
31;300000;2;3;125;1;4;961;90000000000;30000
23;218000;2;3;129;2;4;529;47524000000;31000
20;123000;2;3;192;1;4;400;15129000000;35000
22;300000;2;1;143;1;4;484;90000000000;40000
23;266000;1;3;115;2;1;529;70756000000;40000
24;265000;2;2;170;1;4;576;70225000000;40000
32;250000;2;2;125;2;4;1024;62500000000;43000
22;223000;2;1;192;2;4;484;49729000000;45000
25;200000;2;3;129;2;4;625;40000000000;45000
22;112000;3;3;188;2;9;484;12544000000;47532
27;330000;1;3;113;1;1;729;108900000000;50000
28;289000;1;3;129;3;1;784;83521000000;50000
26;250000;3;3;197;1;9;676;62500000000;50000
31;239983;2;2;125;2;4;961;57591840289;50000
22;200000;2;2;150;1;4;484;40000000000;50000
32;200000;2;2;125;2;4;1024;40000000000;50000
24;200000;2;3;129;2;4;576;40000000000;50000
26;188000;3;3;211;1;9;676;35344000000;50000
32;110000;2;2;125;2;4;1024;12100000000;50000
22;221000;2;2;150;3;4;484;48841000000;51200
32;280000;2;3;125;2;4;1024;78400000000;52000
22;223000;2;1;192;2;4;484;49729000000;52000
28;250000;3;2;184;1;9;784;62500000000;55000
30;150000;1;1;105;2;1;900;22500000000;58000
30;300000;1;3;129;3;1;900;90000000000;60000
25;250000;1;3;115;1;1;625;62500000000;60000
22;250000;2;3;211;1;4;484;62500000000;60000
15;199000;2;2;192;2;4;225;39601000000;60000
21;193000;2;3;150;1;4;441;37249000000;60000
26;100000;2;1;170;2;4;676;10000000000;60000
23;400000;2;3;150;1;4;529;160000000000;63000
23;320000;2;3;150;1;4;529;102400000000;65000
25;250000;2;3;211;1;4;625;62500000000;65000
23;250000;2;3;170;1;4;529;62500000000;65000
25;225000;2;3;170;1;4;625;50625000000;65000
29;190000;2;3;129;2;4;841;36100000000;65000
22;221000;2;2;150;3;4;484;48841000000;65600
30;294000;2;3;125;2;4;900;86436000000;70000
25;279967;2;2;150;2;4;625;78381521089;70000
23;250000;2;3;150;1;4;529;62500000000;70000
30;230000;1;3;150;2;1;900;52900000000;70000
27;220000;1;3;129;1;1;729;48400000000;70000
21;120000;2;2;150;1;4;441;14400000000;70000
22;97000;3;3;218;1;9;484;9409000000;70000
23;50000;2;3;211;1;4;529;2500000000;70000
28;30000;2;3;129;2;4;784;900000000;70000
21;225000;2;3;150;1;4;441;50625000000;73000
24;395000;2;3;129;2;4;576;156025000000;75000
27;237000;2;2;184;2;4;729;56169000000;75000
25;225000;2;3;170;1;4;625;50625000000;75000
22;235000;3;2;188;2;9;484;55225000000;76000
23;234000;2;3;150;2;4;529;54756000000;78000
22;221000;2;2;150;3;4;484;48841000000;78400
24;256000;2;3;170;1;4;576;65536000000;79000
22;160000;2;1;150;2;4;484;25600000000;79000
24;420000;2;3;170;2;4;576;176400000000;80000
23;420000;3;3;188;2;9;529;176400000000;80000
21;400000;2;2;218;1;4;441;160000000000;80000
30;345000;2;3;125;2;4;900;119025000000;80000
22;300000;3;3;211;1;9;484;90000000000;80000
26;260000;1;3;102;1;1;676;67600000000;80000
22;200000;2;2;192;1;4;484;40000000000;80000
22;120000;2;3;150;1;4;484;14400000000;82000
22;400000;2;3;150;1;4;484;160000000000;85000
25;350000;3;3;188;2;9;625;122500000000;85000
25;350000;2;3;129;1;4;625;122500000000;85000
21;301000;3;2;286;2;9;441;90601000000;85000
25;300000;2;3;129;2;4;625;90000000000;85000
25;300000;3;3;211;2;9;625;90000000000;85000
26;288000;2;3;211;1;4;676;82944000000;85000
24;256000;2;3;170;1;4;576;65536000000;85000
24;256000;3;2;211;3;9;576;65536000000;85000
25;250000;2;3;211;2;4;625;62500000000;85000
26;250000;3;3;188;1;9;676;62500000000;85000
22;213000;2;3;192;1;4;484;45369000000;85000
30;160000;1;3;102;2;1;900;25600000000;85000
22;267000;2;3;192;2;4;484;71289000000;89000
23;550000;2;3;129;1;4;529;302500000000;90000
22;435000;3;3;218;1;9;484;189225000000;90000
27;350000;3;3;211;2;9;729;122500000000;90000
30;350000;2;3;125;3;4;900;122500000000;90000
23;320000;1;3;113;1;1;529;102400000000;90000
23;313000;2;3;192;1;4;529;97969000000;90000
24;304000;2;2;211;2;4;576;92416000000;90000
24;287000;1;1;113;2;1;576;82369000000;90000
25;260000;2;2;170;1;4;625;67600000000;90000
22;237000;2;2;192;2;4;484;56169000000;90000
31;168000;1;2;125;1;1;961;28224000000;90000
23;111111;1;3;113;2;1;529;12345654321;90000
22;47000;2;1;192;2;4;484;2209000000;90000
23;40000;1;3;170;2;1;529;1600000000;90000
24;15000;2;2;192;2;4;576;225000000;90000
23;240000;2;3;150;2;4;529;57600000000;92000
24;397000;2;3;192;1;4;576;157609000000;95000
22;267000;2;3;192;2;4;484;71289000000;95000
25;170000;3;2;211;2;9;625;28900000000;95000
21;123456;2;1;150;2;4;441;15241383936;95000
24;20000;1;3;170;1;1;576;400000000;95000
28;100000;2;3;218;2;4;784;10000000000;97000
25;100000;2;3;170;2;4;625;10000000000;98000
21;360000;3;3;286;1;9;441;129600000000;99000
28;350000;2;3;122;2;4;784;122500000000;99000
22;305000;1;3;113;2;1;484;93025000000;99000
23;276000;3;1;188;2;9;529;76176000000;99000
24;460000;1;2;100;2;1;576;211600000000;100000
28;387000;1;3;171;2;1;784;149769000000;100000
26;350000;3;2;188;2;9;676;122500000000;100000
22;345000;1;3;102;1;1;484;119025000000;100000
32;333333;2;1;125;3;4;1024;111110888889;100000
18;330000;1;3;115;3;1;324;108900000000;100000
25;325980;2;3;170;2;4;625;106262960400;100000
25;322160;2;3;129;2;4;625;103787065600;100000
22;304000;2;3;150;1;4;484;92416000000;100000
25;300000;2;3;170;2;4;625;90000000000;100000
24;300000;2;3;211;2;4;576;90000000000;100000
25;300000;3;3;320;2;9;625;90000000000;100000
22;300000;2;3;192;3;4;484;90000000000;100000
23;300000;2;1;150;2;4;529;90000000000;100000
21;300000;3;3;218;2;9;441;90000000000;100000
25;299000;2;1;188;2;4;625;89401000000;100000
22;280000;3;2;188;3;9;484;78400000000;100000
24;280000;2;3;188;1;4;576;78400000000;100000
23;270000;2;3;150;2;4;529;72900000000;100000
21;267000;2;2;150;3;4;441;71289000000;100000
20;260000;2;3;286;1;4;400;67600000000;100000
22;250000;1;2;102;2;1;484;62500000000;100000
23;250000;3;2;188;3;9;529;62500000000;100000
22;231000;2;3;150;2;4;484;53361000000;100000
30;200000;1;1;125;2;1;900;40000000000;100000
23;200000;2;1;150;2;4;529;40000000000;100000
30;180000;1;2;105;2;1;900;32400000000;100000
23;160000;2;2;129;2;4;529;25600000000;100000
25;150000;2;2;170;3;4;625;22500000000;100000
21;100000;2;2;150;2;4;441;10000000000;100000
23;40000;1;3;113;1;1;529;1600000000;100000
23;500000;1;3;115;1;1;529;250000000000;105000
21;240000;2;2;192;2;4;441;57600000000;105000
23;200000;2;2;150;3;4;529;40000000000;105000
24;198000;2;2;188;3;4;576;39204000000;105000
22;97000;3;3;218;1;9;484;9409000000;105000
23;86000;1;2;136;2;1;529;7396000000;105000
23;231000;2;3;192;2;4;529;53361000000;107000
14;137700;2;1;170;2;4;196;18961290000;107440
19;330000;2;3;192;2;4;361;108900000000;110000
23;300000;2;3;150;1;4;529;90000000000;110000
23;300000;2;3;150;2;4;529;90000000000;110000
25;279967;2;2;150;2;4;625;78381521089;110000
22;277000;1;3;113;2;1;484;76729000000;110000
25;277000;2;1;129;2;4;625;76729000000;110000
22;250000;3;2;300;2;9;484;62500000000;110000
25;225000;2;3;170;1;4;625;50625000000;110000
22;180000;2;2;150;2;4;484;32400000000;110000
23;130000;2;3;150;3;4;529;16900000000;110000
24;12000;2;1;211;1;4;576;144000000;110000
23;348000;2;3;192;2;4;529;121104000000;115000
22;300000;2;3;150;2;4;484;90000000000;115000
24;300000;2;2;129;3;4;576;90000000000;115000
21;200000;1;3;100;2;1;441;40000000000;115000
25;332420;2;3;129;2;4;625;110503056400;117000
23;267000;2;2;188;3;4;529;71289000000;117000
22;210000;1;3;102;3;1;484;44100000000;119000
22;209000;1;3;102;3;1;484;43681000000;119000
25;425000;2;3;129;2;4;625;180625000000;120000
24;400000;1;3;115;2;1;576;160000000000;120000
21;400000;1;2;113;1;1;441;160000000000;120000
23;370000;2;3;150;2;4;529;136900000000;120000
21;370000;2;1;192;3;4;441;136900000000;120000
21;351820;1;3;100;1;1;441;123777312400;120000
23;310000;1;3;113;2;1;529;96100000000;120000
23;310000;2;3;150;2;4;529;96100000000;120000
23;303000;2;3;170;2;4;529;91809000000;120000
23;300000;1;3;150;1;1;529;90000000000;120000
23;290000;2;3;192;2;4;529;84100000000;120000
21;267000;2;2;150;3;4;441;71289000000;120000
22;250000;1;1;192;1;1;484;62500000000;120000
22;250000;2;3;192;1;4;484;62500000000;120000
22;250000;3;2;197;2;9;484;62500000000;120000
21;246000;1;3;102;3;1;441;60516000000;120000
21;246000;1;3;102;3;1;441;60516000000;120000
21;205000;1;3;113;2;1;441;42025000000;120000
31;200060;2;2;184;2;4;961;40024003600;120000
24;200000;2;1;129;2;4;576;40000000000;120000
22;170000;2;2;150;3;4;484;28900000000;120000
21;140000;2;2;192;2;4;441;19600000000;120000
24;100000;1;3;170;2;1;576;10000000000;120000
23;290000;1;2;113;2;1;529;84100000000;123000
21;405000;2;3;150;2;4;441;164025000000;125000
24;350000;1;3;136;1;1;576;122500000000;125000
24;313000;2;3;150;2;4;576;97969000000;125000
24;287000;2;1;150;2;4;576;82369000000;125000
23;270000;1;1;102;2;1;529;72900000000;125000
25;250000;2;3;129;1;4;625;62500000000;125000
21;226000;2;2;150;3;4;441;51076000000;125000
21;220000;2;2;113;2;4;441;48400000000;125000
24;192000;2;2;211;2;4;576;36864000000;125000
22;186000;2;2;192;3;4;484;34596000000;125000
23;180000;1;3;192;1;1;529;32400000000;125000
22;258000;2;2;150;3;4;484;66564000000;127000
22;250000;2;2;192;2;4;484;62500000000;128000
23;330000;1;3;113;2;1;529;108900000000;129000
28;230000;1;2;115;3;1;784;52900000000;129999
23;180000;2;2;211;2;4;529;32400000000;129999
23;473000;2;3;192;1;4;529;223729000000;130000
23;452000;2;3;150;2;4;529;204304000000;130000
24;450000;3;3;197;2;9;576;202500000000;130000
23;440000;3;3;188;1;9;529;193600000000;130000
23;415000;2;3;192;2;4;529;172225000000;130000
23;365000;1;3;150;1;1;529;133225000000;130000
27;360000;2;3;129;2;4;729;129600000000;130000
23;356000;2;3;192;2;4;529;126736000000;130000
26;352000;2;3;129;2;4;676;123904000000;130000
23;350000;2;3;192;1;4;529;122500000000;130000
25;332000;2;2;129;2;4;625;110224000000;130000
22;330000;1;2;113;2;1;484;108900000000;130000
22;330000;1;3;150;2;1;484;108900000000;130000
25;329000;2;3;211;2;4;625;108241000000;130000
24;328000;2;3;192;2;4;576;107584000000;130000
21;321000;2;3;192;2;4;441;103041000000;130000
25;320000;2;3;211;1;4;625;102400000000;130000
22;320000;1;3;100;1;1;484;102400000000;130000
26;302000;2;3;170;2;4;676;91204000000;130000
24;300000;2;3;211;3;4;576;90000000000;130000
23;300000;2;3;192;2;4;529;90000000000;130000
25;290000;2;3;192;2;4;625;84100000000;130000
24;278679;2;3;150;2;4;576;77661985041;130000
23;250000;1;3;113;2;1;529;62500000000;130000
23;250000;2;2;150;3;4;529;62500000000;130000
26;250000;3;3;188;1;9;676;62500000000;130000
24;250000;1;2;102;2;1;576;62500000000;130000
20;250000;2;3;115;2;4;400;62500000000;130000
20;230000;2;3;192;1;4;400;52900000000;130000
22;225000;2;1;150;2;4;484;50625000000;130000
25;223000;2;3;170;2;4;625;49729000000;130000
23;200000;2;2;192;3;4;529;40000000000;130000
23;200000;2;1;150;2;4;529;40000000000;130000
19;190000;1;3;102;2;1;361;36100000000;130000
23;190000;2;2;192;2;4;529;36100000000;130000
22;180000;2;2;150;3;4;484;32400000000;130000
21;180000;2;2;192;2;4;441;32400000000;130000
18;170000;3;2;326;2;9;324;28900000000;130000
22;100000;1;3;113;2;1;484;10000000000;130000
23;450000;2;3;150;2;4;529;202500000000;135000
22;440000;1;3;113;2;1;484;193600000000;135000
24;370000;2;3;129;2;4;576;136900000000;135000
23;320000;2;3;170;2;4;529;102400000000;135000
19;315000;1;3;115;1;1;361;99225000000;135000
21;279000;2;3;150;2;4;441;77841000000;135000
23;276000;3;3;211;3;9;529;76176000000;135000
20;250000;2;3;192;2;4;400;62500000000;135000
17;200000;2;1;150;3;4;289;40000000000;135000
21;200000;2;2;150;3;4;441;40000000000;135000
22;196000;1;3;75;2;1;484;38416000000;135000
23;150000;2;2;192;3;4;529;22500000000;135000
21;137000;2;2;192;3;4;441;18769000000;135000
21;109000;2;2;192;3;4;441;11881000000;135000
26;350000;3;3;211;2;9;676;122500000000;136000
14;140600;2;1;192;3;4;196;19768360000;136500
22;278000;1;2;113;2;1;484;77284000000;137000
22;249000;2;2;150;3;4;484;62001000000;137000
20;188591;1;3;140;2;1;400;35566565281;137000
23;350000;2;3;192;2;4;529;122500000000;138000
22;470000;2;3;211;2;4;484;220900000000;139000
19;250000;2;2;150;3;4;361;62500000000;139000
21;195000;1;2;113;3;1;441;38025000000;139000
22;178000;2;2;150;3;4;484;31684000000;139000
26;137000;2;3;129;2;4;676;18769000000;139999
25;450000;2;3;129;2;4;625;202500000000;140000
27;385000;3;3;211;3;9;729;148225000000;140000
28;345115;1;2;129;2;1;784;119104363225;140000
21;343000;3;3;218;2;9;441;117649000000;140000
24;315000;2;2;150;2;4;576;99225000000;140000
25;314000;2;3;211;2;4;625;98596000000;140000
25;300000;2;2;129;2;4;625;90000000000;140000
23;300000;1;3;150;2;1;529;90000000000;140000
20;300000;3;2;286;1;9;400;90000000000;140000
22;300000;2;3;192;2;4;484;90000000000;140000
23;290000;2;3;211;3;4;529;84100000000;140000
23;286000;2;1;150;2;4;529;81796000000;140000
21;280000;2;3;150;2;4;441;78400000000;140000
23;280000;2;2;150;2;4;529;78400000000;140000
23;260000;2;3;192;2;4;529;67600000000;140000
18;258601;3;2;326;1;9;324;66874477201;140000
23;230000;2;3;211;3;4;529;52900000000;140000
17;200000;2;1;150;3;4;289;40000000000;140000
17;200000;2;1;150;3;4;289;40000000000;140000
21;186000;1;2;150;3;1;441;34596000000;140000
22;180000;2;3;150;2;4;484;32400000000;140000
23;99999;1;3;102;3;1;529;9999800001;140000
20;45000;1;3;115;3;1;400;2025000000;140000
30;10000;1;3;105;2;1;900;100000000;140000
24;200000;2;3;192;2;4;576;40000000000;142000
23;380000;1;3;102;1;1;529;144400000000;145000
24;348000;2;3;170;3;4;576;121104000000;145000
24;313000;2;3;150;1;4;576;97969000000;145000
23;306000;2;3;150;2;4;529;93636000000;145000
19;300000;2;2;192;2;4;361;90000000000;145000
19;289000;2;2;192;3;4;361;83521000000;145000
23;280000;1;2;150;2;1;529;78400000000;145000
23;280000;1;1;113;3;1;529;78400000000;145000
21;277000;1;3;115;2;1;441;76729000000;145000
23;270000;1;3;113;3;1;529;72900000000;145000
19;250000;2;2;192;2;4;361;62500000000;145000
24;249000;2;1;150;3;4;576;62001000000;145000
22;224000;2;3;192;2;4;484;50176000000;145000
19;200000;2;2;150;3;4;361;40000000000;145000
23;200000;2;2;192;3;4;529;40000000000;145000
22;200000;2;2;192;3;4;484;40000000000;145000
24;196000;2;2;150;3;4;576;38416000000;145000
19;190000;1;3;140;3;1;361;36100000000;145000
22;190000;2;3;192;2;4;484;36100000000;145000
22;189000;1;3;102;3;1;484;35721000000;145000
21;185000;1;2;115;3;1;441;34225000000;145000
23;170000;2;2;192;3;4;529;28900000000;145000
22;160000;2;2;192;3;4;484;25600000000;145000
23;150000;2;3;192;2;4;529;22500000000;145000
14;137700;2;1;170;2;4;196;18961290000;145360
24;349999;2;3;192;3;4;576;122499300001;146000
24;350000;2;3;192;3;4;576;122500000000;147000
20;289000;2;2;192;3;4;400;83521000000;147000
21;286000;2;2;150;3;4;441;81796000000;147000
30;170000;1;3;150;2;1;900;28900000000;147000
24;300000;2;3;192;2;4;576;90000000000;148000
21;180000;2;2;192;3;4;441;32400000000;148000
24;280000;3;2;326;2;9;576;78400000000;149000
22;274000;2;2;150;3;4;484;75076000000;149000
16;150000;2;3;193;1;4;256;22500000000;149000
23;297000;1;2;150;2;1;529;88209000000;149900
22;550000;2;2;192;2;4;484;302500000000;150000
23;495000;2;3;150;3;4;529;245025000000;150000
20;450000;2;3;150;2;4;400;202500000000;150000
23;430000;2;1;150;2;4;529;184900000000;150000
24;425000;2;3;192;2;4;576;180625000000;150000
23;420000;1;3;113;2;1;529;176400000000;150000
21;400000;2;3;192;2;4;441;160000000000;150000
17;400000;2;3;193;2;4;289;160000000000;150000
21;396000;2;2;150;2;4;441;156816000000;150000
22;375000;2;2;150;2;4;484;140625000000;150000
17;350000;1;3;102;2;1;289;122500000000;150000
19;350000;2;2;192;2;4;361;122500000000;150000
16;350000;2;3;170;1;4;256;122500000000;150000
24;350000;2;2;129;2;4;576;122500000000;150000
20;347000;2;3;150;2;4;400;120409000000;150000
22;340000;2;3;150;2;4;484;115600000000;150000
25;325000;3;2;188;2;9;625;105625000000;150000
19;320000;1;3;150;1;1;361;102400000000;150000
23;317000;2;3;170;3;4;529;100489000000;150000
21;314000;2;3;192;2;4;441;98596000000;150000
16;301000;2;2;193;2;4;256;90601000000;150000
22;300000;1;3;113;2;1;484;90000000000;150000
25;294000;2;3;129;2;4;625;86436000000;150000
19;290000;1;2;115;2;1;361;84100000000;150000
22;280000;1;1;192;3;1;484;78400000000;150000
26;260000;2;3;211;2;4;676;67600000000;150000
22;252000;1;3;150;1;1;484;63504000000;150000
17;250000;1;3;115;1;1;289;62500000000;150000
18;250000;3;2;326;1;9;324;62500000000;150000
23;247900;2;3;192;2;4;529;61454410000;150000
22;243000;2;3;143;2;4;484;59049000000;150000
23;232000;1;2;113;2;1;529;53824000000;150000
22;227000;2;3;192;2;4;484;51529000000;150000
13;225000;1;1;118;3;1;169;50625000000;150000
28;210000;1;3;90;2;1;784;44100000000;150000
27;202000;1;3;105;2;1;729;40804000000;150000
27;200000;1;1;100;2;1;729;40000000000;150000
22;200000;2;3;192;2;4;484;40000000000;150000
22;200000;2;2;150;3;4;484;40000000000;150000
20;176200;2;2;192;2;4;400;31046440000;150000
22;151000;2;2;115;2;4;484;22801000000;150000
25;111111;2;3;188;2;4;625;12345654321;150000
23;450000;2;3;150;2;4;529;202500000000;155000
22;420000;2;3;150;2;4;484;176400000000;155000
19;400000;2;3;192;2;4;361;160000000000;155000
21;380000;1;3;150;1;1;441;144400000000;155000
23;380000;2;3;150;2;4;529;144400000000;155000
17;360000;1;3;102;2;1;289;129600000000;155000
23;300000;2;2;150;3;4;529;90000000000;155000
21;300000;2;1;115;2;4;441;90000000000;155000
19;292000;1;3;150;2;1;361;85264000000;155000
23;235116;1;3;100;2;1;529;55279533456;155000
18;210000;2;2;193;1;4;324;44100000000;155000
20;208000;1;2;115;3;1;400;43264000000;155000
19;156000;1;1;192;2;1;361;24336000000;155000
23;247900;2;3;192;2;4;529;61454410000;157000
23;370000;2;3;192;3;4;529;136900000000;157157
18;300000;1;2;102;2;1;324;90000000000;159000
16;177000;2;3;170;2;4;256;31329000000;159000
18;430000;1;3;115;2;1;324;184900000000;160000
24;426000;2;3;192;2;4;576;181476000000;160000
23;374000;1;1;113;2;1;529;139876000000;160000
20;350000;1;3;102;1;1;400;122500000000;160000
21;341000;3;3;218;2;9;441;116281000000;160000
19;340000;2;3;143;2;4;361;115600000000;160000
24;340000;2;3;150;1;4;576;115600000000;160000
19;315000;1;3;150;3;1;361;99225000000;160000
24;300000;2;3;129;3;4;576;90000000000;160000
23;300000;2;2;192;2;4;529;90000000000;160000
31;300000;3;2;197;2;9;961;90000000000;160000
23;290000;1;3;192;2;1;529;84100000000;160000
21;270000;1;3;115;3;1;441;72900000000;160000
20;250000;2;3;150;2;4;400;62500000000;160000
18;250000;1;3;102;2;1;324;62500000000;160000
24;250000;2;1;170;3;4;576;62500000000;160000
20;245000;1;2;140;2;1;400;60025000000;160000
17;230000;2;3;170;2;4;289;52900000000;160000
22;286000;1;2;102;3;1;484;81796000000;163000
18;390000;1;2;106;2;1;324;152100000000;165000
21;390000;2;2;150;2;4;441;152100000000;165000
19;380000;2;3;150;2;4;361;144400000000;165000
20;333333;2;3;150;2;4;400;111110888889;165000
22;313000;1;2;102;3;1;484;97969000000;165000
23;256000;1;3;150;2;1;529;65536000000;165000
21;247900;2;2;192;3;4;441;61454410000;165000
23;247000;2;3;150;3;4;529;61009000000;165000
18;218000;2;2;170;2;4;324;47524000000;165000
12;142000;2;3;192;2;4;144;20164000000;165000
22;320000;2;2;150;3;4;484;102400000000;167000
21;219000;2;2;192;3;4;441;47961000000;168000
22;300000;2;3;192;3;4;484;90000000000;169000
22;183000;1;3;113;2;1;484;33489000000;169000
17;450000;1;3;102;2;1;289;202500000000;170000
16;410000;1;3;102;2;1;256;168100000000;170000
20;373000;1;3;149;2;1;400;139129000000;170000
23;368000;2;3;192;1;4;529;135424000000;170000
21;367000;2;2;150;3;4;441;134689000000;170000
19;350000;2;3;150;2;4;361;122500000000;170000
20;300000;2;3;150;2;4;400;90000000000;170000
21;300000;2;3;192;2;4;441;90000000000;170000
27;300000;3;3;211;2;9;729;90000000000;170000
19;280000;2;2;150;2;4;361;78400000000;170000
22;278354;2;3;150;2;4;484;77480949316;170000
23;260000;3;1;211;2;9;529;67600000000;170000
15;250000;1;2;150;2;1;225;62500000000;170000
23;250000;2;1;150;2;4;529;62500000000;170000
18;250000;2;2;193;2;4;324;62500000000;170000
19;237000;2;1;192;3;4;361;56169000000;170000
27;230000;1;3;129;2;1;729;52900000000;170000
17;205000;1;3;140;3;1;289;42025000000;170000
18;286000;1;2;170;3;1;324;81796000000;173000
22;553000;1;3;115;2;1;484;305809000000;175000
19;400000;2;3;150;3;4;361;160000000000;175000
21;360000;1;3;102;2;1;441;129600000000;175000
21;322270;2;3;218;2;4;441;103857952900;175000
16;290000;2;3;170;2;4;256;84100000000;175000
20;262000;1;2;102;2;1;400;68644000000;175000
25;230832;2;2;129;2;4;625;53283412224;175000
18;220000;2;3;150;2;4;324;48400000000;175000
23;200000;1;1;150;2;1;529;40000000000;175000
23;200000;2;1;192;2;4;529;40000000000;175000
20;180000;2;2;150;3;4;400;32400000000;175000
21;280000;1;3;150;2;1;441;78400000000;177000
21;350000;2;2;150;2;4;441;122500000000;179000
19;500000;2;3;192;2;4;361;250000000000;180000
23;483778;2;3;192;2;4;529;234041153284;180000
22;415000;2;3;192;2;4;484;172225000000;180000
22;392000;2;3;218;2;4;484;153664000000;180000
22;390000;2;1;192;2;4;484;152100000000;180000
19;380000;2;3;150;2;4;361;144400000000;180000
23;370000;1;2;113;2;1;529;136900000000;180000
19;350000;2;3;192;3;4;361;122500000000;180000
20;340000;2;3;218;2;4;400;115600000000;180000
22;340000;2;2;143;2;4;484;115600000000;180000
19;337000;2;3;192;2;4;361;113569000000;180000
17;330000;1;3;115;2;1;289;108900000000;180000
20;320000;2;2;150;2;4;400;102400000000;180000
21;320000;1;3;150;1;1;441;102400000000;180000
26;320000;2;3;170;2;4;676;102400000000;180000
23;301000;1;3;115;2;1;529;90601000000;180000
17;300000;2;3;170;1;4;289;90000000000;180000
24;290000;2;3;170;2;4;576;84100000000;180000
27;290000;3;3;220;2;9;729;84100000000;180000
24;288000;2;3;150;2;4;576;82944000000;180000
19;250000;2;2;192;3;4;361;62500000000;180000
19;250000;2;2;192;3;4;361;62500000000;180000
19;215000;1;2;150;3;1;361;46225000000;180000
18;200000;1;3;90;2;1;324;40000000000;180000
23;200000;2;3;150;2;4;529;40000000000;180000
30;189000;3;3;218;3;9;900;35721000000;180000
22;150000;2;3;192;2;4;484;22500000000;180000
23;71000;2;1;192;3;4;529;5041000000;180000
23;20000;2;3;192;3;4;529;400000000;180000
23;460000;2;3;192;2;4;529;211600000000;183000
20;300000;1;3;102;3;1;400;90000000000;185000
19;300000;1;3;102;3;1;361;90000000000;185000
23;300000;2;3;150;2;4;529;90000000000;185000
17;256000;3;3;193;2;9;289;65536000000;185000
19;190000;3;3;218;2;9;361;36100000000;185000
17;185000;3;1;235;2;9;289;34225000000;185000
20;217000;1;2;115;2;1;400;47089000000;186000
23;260000;2;3;211;2;4;529;67600000000;187000
18;237478;1;3;150;2;1;324;56395800484;187000
15;230000;2;2;150;2;4;225;52900000000;189000
23;390000;1;3;150;2;1;529;152100000000;190000
20;308000;1;2;150;2;1;400;94864000000;190000
22;300000;2;3;170;2;4;484;90000000000;190000
23;300000;2;3;150;2;4;529;90000000000;190000
21;294000;3;3;286;2;9;441;86436000000;190000
22;277000;1;1;192;3;1;484;76729000000;190000
18;275546;2;3;193;1;4;324;75925598116;190000
17;249000;1;2;115;3;1;289;62001000000;190000
22;220000;3;3;300;2;9;484;48400000000;190000
20;206000;3;3;326;2;9;400;42436000000;190000
15;200000;2;3;193;1;4;225;40000000000;190000
21;150000;3;1;300;2;9;441;22500000000;190000
17;10000;2;3;170;1;4;289;100000000;190000
16;280000;2;2;193;2;4;256;78400000000;193000
22;310000;1;3;192;1;1;484;96100000000;195000
17;300000;2;3;193;2;4;289;90000000000;195000
16;295000;1;3;102;2;1;256;87025000000;195000
22;277000;1;3;140;3;1;484;76729000000;195000
17;176000;1;3;102;2;1;289;30976000000;195000
23;261000;1;3;150;2;1;529;68121000000;197000
23;250000;1;3;102;3;1;529;62500000000;197000
23;333000;1;3;150;3;1;529;110889000000;198000
16;179000;1;3;102;3;1;256;32041000000;198000
18;299000;2;3;286;1;4;324;89401000000;199000
21;220000;1;3;150;3;1;441;48400000000;199000
17;137000;2;3;170;3;4;289;18769000000;199000
24;54000;2;3;150;3;4;576;2916000000;199000
21;350000;2;2;218;2;4;441;122500000000;199999
18;313000;2;1;193;3;4;324;97969000000;199999
24;122000;3;3;188;2;9;576;14884000000;199999
26;450000;2;3;129;3;4;676;202500000000;200000
21;370000;2;3;150;2;4;441;136900000000;200000
17;350000;2;3;193;2;4;289;122500000000;200000
19;350000;3;2;286;2;9;361;122500000000;200000
22;340000;1;2;192;2;1;484;115600000000;200000
29;330000;1;3;193;2;1;841;108900000000;200000
23;305000;1;2;102;2;1;529;93025000000;200000
23;300000;2;3;150;2;4;529;90000000000;200000
19;300000;2;3;150;2;4;361;90000000000;200000
17;300000;2;3;170;2;4;289;90000000000;200000
19;300000;2;3;115;2;4;361;90000000000;200000
17;300000;2;3;170;1;4;289;90000000000;200000
21;284000;2;3;192;2;4;441;80656000000;200000
18;280000;2;3;170;2;4;324;78400000000;200000
21;267000;1;2;150;2;1;441;71289000000;200000
18;260000;1;3;115;2;1;324;67600000000;200000
15;250000;1;2;118;2;1;225;62500000000;200000
16;250000;2;3;170;1;4;256;62500000000;200000
21;250000;1;3;140;2;1;441;62500000000;200000
18;249000;3;3;193;2;9;324;62001000000;200000
22;247000;2;3;218;3;4;484;61009000000;200000
19;241000;2;2;192;3;4;361;58081000000;200000
17;240000;2;2;193;2;4;289;57600000000;200000
16;240000;1;2;118;1;1;256;57600000000;200000
16;235000;1;3;150;1;1;256;55225000000;200000
18;230000;2;2;193;2;4;324;52900000000;200000
17;212000;2;2;150;2;4;289;44944000000;200000
20;200000;3;3;286;2;9;400;40000000000;200000
24;197200;3;3;300;2;9;576;38887840000;200000
20;175000;2;3;194;2;4;400;30625000000;200000
27;100000;3;3;188;2;9;729;10000000000;200000
