iter	Logloss
0	0.6775355538
1	0.6632837821
2	0.652634808
3	0.6399893261
4	0.6268054799
5	0.6165578466
6	0.6080593871
7	0.5962390672
8	0.5872192934
9	0.5787139117
10	0.5715000848
11	0.5658579449
12	0.5592043166
13	0.5529104928
14	0.5487579937
15	0.5429958919
16	0.5379688093
17	0.5329777999
18	0.5271173985
19	0.5220201922
20	0.5184146391
21	0.5136603911
22	0.5090456544
23	0.5054533656
24	0.5022182293
25	0.498508997
26	0.495409236
27	0.4912235044
28	0.4878910831
29	0.4844001242
30	0.4823808194
31	0.4796145593
32	0.4764805661
33	0.4748537596
34	0.4722414419
35	0.4704203965
36	0.4682047533
37	0.4669659138
38	0.4650108456
39	0.4629138273
40	0.4611604996
41	0.4595956113
42	0.4583590922
43	0.4572629069
44	0.4564710717
45	0.4554366887
46	0.4550574068
47	0.4539965386
48	0.4529784606
49	0.4511543322
50	0.4500655637
51	0.4495122247
52	0.4488284743
53	0.448205597
54	0.4474082296
55	0.4469286428
56	0.4459455728
57	0.4444811148
58	0.4431589357
59	0.4424675224
60	0.4415449505
61	0.4410369829
62	0.4399196948
63	0.4394754632
64	0.4388521623
65	0.4383806047
66	0.4378079275
67	0.4376402109
68	0.4370780772
69	0.4362772628
70	0.4355188515
71	0.4346242144
72	0.4334606958
73	0.433155576
74	0.4328858221
75	0.4323979686
76	0.4322487284
77	0.4319489307
78	0.4310891441
79	0.4307167189
80	0.4302376708
81	0.4293531875
82	0.4287709208
83	0.428226122
84	0.4279457477
85	0.427656915
86	0.4274903275
87	0.4273224072
88	0.4268042336
89	0.4264633702
90	0.4263260584
91	0.4260612503
92	0.4254655134
93	0.425267018
94	0.4246866513
95	0.4241743616
96	0.424081753
97	0.4237998535
98	0.4232461871
99	0.4228538629
100	0.4223008016
101	0.4213923463
102	0.4211568528
103	0.4208303527
104	0.4204527961
105	0.4198397635
106	0.4194637466
107	0.4192457891
108	0.4188868209
109	0.4187573269
110	0.4186294988
111	0.4185571204
112	0.418314935
113	0.4178188103
114	0.41725407
115	0.4169898723
116	0.4168599092
117	0.4167127007
118	0.4166440276
119	0.4165127901
120	0.4158316811
121	0.4155735967
122	0.4153922392
123	0.4149914854
124	0.4144991661
125	0.4140037883
126	0.4137588878
127	0.413090834
128	0.4128385512
129	0.4126079275
130	0.4123051229
131	0.4121086691
132	0.4119802136
133	0.4119315102
134	0.4117895646
135	0.4116469003
136	0.4113478117
137	0.4112118874
138	0.4109991966
139	0.4102544856
140	0.4100904568
141	0.4100445493
142	0.4100156869
143	0.4096120033
144	0.4095350662
145	0.4093944873
146	0.4091855703
147	0.4088538375
148	0.4087668961
149	0.4085706846
150	0.4081572051
151	0.4079363829
152	0.4076938395
153	0.4075802321
154	0.4073918926
155	0.4072205533
156	0.4070329534
157	0.4069078196
158	0.4061292277
159	0.4058660972
160	0.4057244326
161	0.4056632493
162	0.4052332853
163	0.4048791319
164	0.4045636404
165	0.4044103043
166	0.4043580325
167	0.4043142631
168	0.404020504
169	0.4039416657
170	0.4033308981
171	0.4033289172
172	0.4031480772
173	0.4028103547
174	0.4027633519
175	0.4023655243
176	0.4020300069
177	0.4019781558
178	0.4018497755
179	0.4017816383
180	0.4015169724
181	0.4014547152
182	0.4007358246
183	0.4003392398
184	0.3999927414
185	0.3997311261
186	0.399400462
187	0.3991055372
188	0.398969742
189	0.3986524394
190	0.3979957
191	0.3972905548
192	0.3968986336
193	0.3967258531
194	0.3964370741
195	0.3962013925
196	0.3959148748
197	0.3957562486
198	0.3956457184
199	0.3952791318
200	0.3949532859
201	0.3949480706
202	0.3949379408
203	0.3947982244
204	0.394678754
205	0.3944714276
206	0.394177198
207	0.3938166206
208	0.3929360092
209	0.3927090539
210	0.3923903474
211	0.392051928
212	0.3920516404
213	0.391601575
214	0.391369578
215	0.3910434785
216	0.3901887706
217	0.3900050063
218	0.3899150585
219	0.3892746478
220	0.3890587564
221	0.3887627112
222	0.3881375627
223	0.3879475298
224	0.3875648095
225	0.3872562659
226	0.3866154738
227	0.3864343027
228	0.3860750822
229	0.3859882552
230	0.3857369911
231	0.3851637619
232	0.384499955
233	0.3840726101
234	0.3837701152
235	0.3833141141
236	0.3828245326
237	0.3826973259
238	0.3823208028
239	0.3821147045
240	0.3818831109
241	0.3814399032
242	0.3810038245
243	0.3808706744
244	0.3805460934
245	0.3803240363
246	0.3802207231
247	0.3801361387
248	0.3799799501
249	0.3795627115
250	0.3791562185
251	0.3789253438
252	0.3788169979
253	0.3783341166
254	0.3782116423
255	0.3775455091
256	0.3770327588
257	0.3768615303
258	0.3765134593
259	0.3763278967
260	0.3757757401
261	0.3756495846
262	0.3755524455
263	0.3755487394
264	0.3753202442
265	0.3749006975
266	0.3745467347
267	0.3743586551
268	0.3742598064
269	0.3742559971
270	0.3741206021
271	0.3740004537
272	0.3738380843
273	0.3737870307
274	0.3733822653
275	0.3732314142
276	0.3727231681
277	0.3723181495
278	0.3722628843
279	0.3720926972
280	0.371798202
281	0.3717097902
282	0.3714040541
283	0.371241373
284	0.3710592428
285	0.3709657397
286	0.3707273069
287	0.3703133847
288	0.3700452994
289	0.3699296133
290	0.3694964135
291	0.369115448
292	0.3688084726
293	0.3686728486
294	0.3682859777
295	0.3680013106
296	0.367958977
297	0.3676442365
298	0.3671851587
299	0.3668632767
300	0.3664315554
301	0.366308789
302	0.3660202707
303	0.3657443111
304	0.3655953874
305	0.3652465089
306	0.3651224185
307	0.3650777281
308	0.364416148
309	0.3642615387
310	0.3638998887
311	0.3636740117
312	0.3634449548
313	0.3630503454
314	0.362791235
315	0.3622349565
316	0.3619983794
317	0.3617309297
318	0.3616428556
319	0.3615231555
320	0.3613850913
321	0.3612845751
322	0.3611714693
323	0.3610887929
324	0.360759402
325	0.360590562
326	0.3604829081
327	0.3603796365
328	0.3603024883
329	0.3597177538
330	0.3592484222
331	0.3590610091
332	0.3585574074
333	0.3585142749
334	0.3582397735
335	0.3578487073
336	0.357370456
337	0.3571224694
338	0.3570709773
339	0.356741827
340	0.3564257738
341	0.3558519982
342	0.3554336948
343	0.3550212226
344	0.354957372
345	0.3545131632
346	0.3540696611
347	0.3536961614
348	0.3533395532
349	0.3530294392
350	0.3527598297
351	0.3525025157
352	0.3523793245
353	0.352137657
354	0.3520137044
355	0.3517720647
356	0.3516162343
357	0.3509809294
358	0.3506851395
359	0.350454383
360	0.3501882695
361	0.3499841623
362	0.3497845457
363	0.3493923935
364	0.3493137413
365	0.3487899952
366	0.3486544779
367	0.3483168685
368	0.3478391712
369	0.3477927413
370	0.3475589285
371	0.3474623079
372	0.3472969601
373	0.3470772034
374	0.3464695499
375	0.3462405777
376	0.3459969734
377	0.345699255
378	0.3454876108
379	0.34535823
380	0.3452505119
381	0.345052887
382	0.3446712465
383	0.3442313844
384	0.3440986472
385	0.3439742287
386	0.3439154824
387	0.3435911882
388	0.3433749632
389	0.3430123907
390	0.342616402
391	0.3421874911
392	0.3417985792
393	0.3415064339
394	0.3412522244
395	0.3409093669
396	0.3407151992
397	0.3404640058
398	0.3402841231
399	0.3401988974
400	0.3399806361
401	0.3398824868
402	0.3397008244
403	0.3393426648
404	0.3392385491
405	0.338959318
406	0.338584257
407	0.3385151697
408	0.3382770904
409	0.3381821791
410	0.3378887991
411	0.33768407
412	0.3373915771
413	0.3372828514
414	0.3371593424
415	0.3368430162
416	0.3367659384
417	0.3365551656
418	0.3364745304
419	0.3362450514
420	0.3359808419
421	0.3358413694
422	0.3356785655
423	0.3353260882
424	0.3349577337
425	0.3347543119
